PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('DET', 'ADJ')	4838	8596	1621	669	14439	627	4015	4059	2830	1418	835	2647	103396	10092
('ADJ', 'NOUN')	6998	10792	2051	797	17008	861	5831	6289	3752	2030	1197	3535	175867	12912
('NOUN', 'VERB')	12099	12108	2084	950	14864	1035	8326	6647	3388	2099	1222	4158	121053	6915
('VERB', 'DET')	3394	4072	618	284	4829	402	3368	1678	1088	390	269	993	25272	2586
('DET', 'NOUN')	27836	30808	6812	2613	41651	2463	23661	15745	10131	4840	2960	11050	303980	24227
('NOUN', 'CCONJ')	4202	4879	875	318	5966	266	3640	2616	1221	663	434	1443	38622	2133
('CCONJ', 'DET')	2181	2996	761	265	5052	155	1841	1115	656	319	275	785	14855	1057
('NOUN', 'PUNCT')	12011	16612	3624	1387	18684	1264	12020	9658	4074	2446	1485	5996	100942	10708
('PUNCT', 'ADV')	4081	5218	1660	546	7060	547	3342	1777	900	597	393	2149	15377	1760
('ADV', 'DET')	2226	3888	960	431	4825	350	1732	2388	1230	510	343	1524	25678	2248
('DET', 'PROPN')	210	260	170	42	282	9	276	638	240	35	35	45	20737	2393
('ADP', 'DET')	12096	15332	3659	1305	23916	1121	10851	9057	6195	3044	1597	5884	179005	17885
('VERB', 'AUX')	4179	4404	475	418	7011	271	2175	1777	725	798	522	1228	35157	914
('AUX', 'PUNCT')	5752	5698	988	718	9233	373	3054	2381	1176	997	678	1807	45252	1148
('VERB', 'ADV')	2816	3983	990	504	4263	379	2052	2898	1338	396	311	1410	15852	1765
('DET', 'PRON')	217	177	62	29	207	17	84	72	32	23	21	27	552	86
('PRON', 'PUNCT')	2890	3185	704	338	4818	268	1860	1261	646	329	295	1057	3233	317
('PUNCT', 'PRON')	8685	8912	1812	956	12047	758	4928	2528	1203	953	629	2683	27974	1425
('PRON', 'ADV')	5660	8574	2208	1124	11096	693	4244	4885	2463	880	816	2991	17349	1672
('ADV', 'VERB')	7310	7654	1736	667	9606	809	6050	3456	1870	835	684	2775	21900	2575
('VERB', 'PRON')	7965	9712	2082	876	12636	860	6718	5419	2950	915	712	2676	20261	2093
('PROPN', 'ADP')	483	664	167	73	1133	25	546	844	382	116	89	180	18759	2075
('ADP', 'NOUN')	3409	4323	1015	474	5201	321	3062	5914	1559	822	472	1471	60705	4530
('PRON', 'DET')	3377	3337	718	322	5167	308	2699	1515	934	439	264	927	16642	1108
('CCONJ', 'VERB')	4207	4592	489	233	6589	370	2994	1544	601	256	211	925	5800	535
('VERB', 'PUNCT')	17705	16220	4421	1798	19146	1517	11713	8370	4665	2285	1672	5637	109467	7570
('PRON', 'VERB')	10362	9263	2096	1096	10405	886	7315	5258	2950	983	833	2666	10730	2933
('ADV', 'ADJ')	1710	3801	1309	616	4253	236	1389	2940	1589	502	416	1195	26349	1620
('ADJ', 'CCONJ')	707	1447	331	131	1327	54	634	628	329	155	102	281	5813	443
